A,B,C,D,isolate,uniprod_id
cct:CC1_03660,CDS,387757..388911,Putative virion core protein (lumpy skin disease virus),T02584,
cct:CC1_03670,CDS,388998..391304,ATP-dependent DNA helicase PcrA,T02584,
cct:CC1_03680,CDS,391379..391666,hypothetical protein,T02584,
cct:CC1_03690,CDS,391824..393215,23S rRNA m(5)U-1939 methyltransferase,T02584,
cct:CC1_03710,CDS,394568..395071,Adenylate kinase and related kinases,T02584,
cct:CC1_03720,CDS,395334..396371,Predicted transcriptional regulators,T02584,
cct:CC1_03740,CDS,396479..396850,hypothetical protein,T02584,
cct:CC1_03750,CDS,397169..397930,Predicted transcriptional regulators,T02584,
cct:CC1_03760,CDS,398108..398593,hypothetical protein,T02584,
cct:CC1_03770,CDS,398924..399223,hypothetical protein,T02584,
cct:CC1_03780,CDS,399220..399342,hypothetical protein,T02584,
cct:CC1_03790,CDS,399409..400734,"transporter, NhaC family (TC 2.A.35)",T02584,
cct:CC1_03800,CDS,400727..400861,hypothetical protein,T02584,
cct:CC1_03810,CDS,400998..401384,Predicted thioesterase,T02584,
cct:CC1_03820,CDS,401715..403472,threonyl-tRNA synthetase/Ser-tRNA(Thr) hydrolase,T02584,
cct:CC1_03830,CDS,complement(403453..404343),Transcriptional regulator,T02584,
cct:CC1_03840,CDS,404513..405412,Permeases of the drug/metabolite transporter (DMT) superfamily,T02584,
cct:CC1_03850,CDS,complement(405479..407251),"Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains",T02584,
cct:CC1_03860,CDS,407829..409127,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_03870,CDS,409236..410393,"Alcohol dehydrogenase, class IV",T02584,
cct:CC1_03880,CDS,410475..411374,dihydrodipicolinate synthase,T02584,
cct:CC1_03890,CDS,411388..412422,4-hydroxythreonine-4-phosphate dehydrogenase,T02584,
cct:CC1_03900,CDS,412436..412924,"TRAP-type C4-dicarboxylate transport system, small permease component",T02584,
cct:CC1_03910,CDS,412945..414228,"TRAP-type C4-dicarboxylate transport system, large permease component",T02584,
cct:CC1_03920,CDS,414267..415427,Predicted neuraminidase (sialidase),T02584,
cct:CC1_03930,CDS,415567..416019,conserved hypothetical protein,T02584,
cct:CC1_03940,CDS,416185..417549,Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen,T02584,
cct:CC1_03950,CDS,417761..419197,amino acid carrier protein,T02584,
cct:CC1_03960,CDS,419306..419761,Domain of unknown function (DUF1934).,T02584,
cct:CC1_03970,CDS,419951..420208,hypothetical protein,T02584,
cct:CC1_03980,CDS,420309..420962,phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein,T02584,
cct:CC1_03990,CDS,421338..422789,exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase,T02584,
cct:CC1_04000,CDS,422846..423742,Glucose-1-phosphate thymidylyltransferase,T02584,
cct:CC1_04010,CDS,423787..424806,"dTDP-glucose 4,6-dehydratase",T02584,
cct:CC1_04020,CDS,424828..425742,dTDP-4-dehydrorhamnose reductase,T02584,
cct:CC1_04030,CDS,425764..426363,"dTDP-4-dehydrorhamnose 3,5-epimerase",T02584,
cct:CC1_04040,CDS,426360..426470,hypothetical protein,T02584,
cct:CC1_04050,CDS,426688..427629,Membrane protein involved in the export of O-antigen and teichoic acid,T02584,
cct:CC1_04060,CDS,427623..428132,hypothetical protein,T02584,
cct:CC1_04070,CDS,428248..429489,Glycosyltransferase,T02584,
cct:CC1_04080,CDS,429508..430857,Glycosyltransferase,T02584,
cct:CC1_04090,CDS,430892..431737,Predicted glycosyltransferases,T02584,
cct:CC1_04100,CDS,431734..433065,O-Antigen ligase.,T02584,
cct:CC1_04110,CDS,433062..433892,LPS biosynthesis protein,T02584,
cct:CC1_04120,CDS,434071..435843,CTP:phosphocholine cytidylyltransferase involved in choline phosphorylation for cell surface LPS epitopes,T02584,
cct:CC1_04130,CDS,435844..436563,CTP:phosphocholine cytidylyltransferase involved in choline phosphorylation for cell surface LPS epitopes,T02584,
cct:CC1_04140,CDS,436565..438100,Choline-glycine betaine transporter,T02584,
cct:CC1_04160,CDS,complement(439635..440399),DNA replication protein,T02584,
cct:CC1_04170,CDS,complement(440396..440458),hypothetical protein,T02584,
cct:CC1_04180,CDS,complement(440455..441966),Transposase and inactivated derivatives,T02584,
cct:CC1_04200,CDS,443083..447942,FOG: Glucan-binding domain (YG repeat),T02584,
cct:CC1_04210,CDS,448101..450020,Transglutaminase-like superfamily./Putative cell wall binding repeat.,T02584,
cct:CC1_04220,CDS,450226..450492,hypothetical protein,T02584,
cct:CC1_04230,CDS,450527..450796,hypothetical protein,T02584,
cct:CC1_04250,CDS,451537..452271,Capsular polysaccharide biosynthesis protein,T02584,
cct:CC1_04260,CDS,452350..453147,Capsular polysaccharide biosynthesis protein,T02584,
cct:CC1_04270,CDS,453134..453826,capsular exopolysaccharide family,T02584,
cct:CC1_04280,CDS,453927..456038,Predicted nucleoside-diphosphate sugar epimerases,T02584,
cct:CC1_04290,CDS,456053..456724,"Uncharacterized proteins, LmbE homologs",T02584,
cct:CC1_04300,CDS,456877..457476,Sugar transferases involved in lipopolysaccharide synthesis,T02584,
cct:CC1_04320,CDS,458639..459190,Bacterial transferase hexapeptide (three repeats).,T02584,
cct:CC1_04330,CDS,459187..460338,Glycosyltransferase,T02584,
cct:CC1_04340,CDS,460354..461055,Exopolysaccharide biosynthesis protein,T02584,
cct:CC1_04350,CDS,461048..462001,Predicted glycosyltransferases,T02584,
cct:CC1_04360,CDS,462002..463438,hypothetical protein,T02584,
cct:CC1_04370,CDS,463426..464841,Membrane protein involved in the export of O-antigen and teichoic acid,T02584,
cct:CC1_04390,CDS,466452..467546,Nucleoside-diphosphate-sugar epimerases,T02584,
cct:CC1_04400,CDS,467574..468818,nucleotide sugar dehydrogenase,T02584,
cct:CC1_04410,CDS,468864..469769,dTDP-glucose pyrophosphorylase,T02584,
cct:CC1_04420,CDS,469852..471231,hypothetical protein,T02584,
cct:CC1_04430,CDS,471221..472132,hypothetical protein,T02584,
cct:CC1_04440,CDS,472224..472643,hypothetical protein,T02584,
cct:CC1_04450,CDS,472760..473128,hypothetical protein,T02584,
cct:CC1_04470,CDS,complement(474099..474704),DNA replication protein,T02584,
cct:CC1_04500,CDS,complement(477111..478055),Site-specific recombinase XerD,T02584,
cct:CC1_04510,CDS,complement(478052..479248),Site-specific recombinase XerD,T02584,
cct:CC1_04520,CDS,complement(479353..480825),Transposase and inactivated derivatives,T02584,
cct:CC1_04530,CDS,complement(480929..481213),Transposase and inactivated derivatives,T02584,
cct:CC1_04540,CDS,complement(481340..482362),Site-specific recombinase XerD,T02584,
cct:CC1_04550,CDS,complement(482352..483332),Site-specific recombinase XerD,T02584,
cct:CC1_04570,CDS,complement(485099..485242),hypothetical protein,T02584,
cct:CC1_04580,CDS,complement(486014..487147),Biotin carboxylase,T02584,
cct:CC1_04590,CDS,complement(487163..488281),Uncharacterized membrane protein,T02584,
cct:CC1_04650,CDS,492724..492891,hypothetical protein,T02584,
cct:CC1_04660,CDS,493292..493369,hypothetical protein,T02584,
cct:CC1_04670,CDS,493600..494817,Predicted ATPase (AAA+ superfamily),T02584,
cct:CC1_04710,CDS,497137..498084,hypothetical protein,T02584,
cct:CC1_04720,CDS,498081..498905,Reverse transcriptase (RNA-dependent DNA polymerase).,T02584,
cct:CC1_04740,CDS,complement(500293..500355),hypothetical protein,T02584,
cct:CC1_04750,CDS,complement(501176..501511),hypothetical protein,T02584,
cct:CC1_04760,CDS,complement(501495..502613),UDP-galactopyranose mutase,T02584,
cct:CC1_R_34990,rRNA,complement(502798..506307),23S; 23S ribosomal RNA,T02584,
cct:CC1_35080,misc_RNA,complement(503305..503412),Pseudoknot of the domain G(G12) of 23S ribosomal RNA,T02584,
cct:CC1_R_35000,rRNA,complement(505857..508732),16S; 16S ribosomal RNA,T02584,
cct:CC1_T_34980,tRNA,complement(509321..509408),CC1_T_34980,T02584,
cct:CC1_04780,CDS,complement(509478..510029),"hydro-lyases, Fe-S type, tartrate/fumarate subfamily, beta region",T02584,
cct:CC1_04790,CDS,complement(510042..510884),"hydro-lyases, Fe-S type, tartrate/fumarate subfamily, alpha region",T02584,
cct:CC1_04800,CDS,511039..512313,Chloride channel protein EriC,T02584,
cct:CC1_04820,CDS,complement(512467..515016),DNA gyrase subunit A,T02584,
cct:CC1_04830,CDS,complement(515052..516962),DNA gyrase subunit B,T02584,
cct:CC1_04840,CDS,complement(516980..518077),DNA replication and repair protein RecF,T02584,
cct:CC1_04850,CDS,complement(518081..518287),Uncharacterized conserved protein,T02584,
cct:CC1_04860,CDS,complement(518390..519493),"DNA polymerase III, beta subunit",T02584,
cct:CC1_04880,CDS,521804..521938,LSU ribosomal protein L34P,T02584,
cct:CC1_04890,CDS,522065..522424,ribonuclease P protein component,T02584,
cct:CC1_04900,CDS,522408..522626,conserved hypothetical protein TIGR00278,T02584,
cct:CC1_04920,CDS,523952..524746,Predicted RNA-binding protein,T02584,
cct:CC1_04930,CDS,524949..526325,tRNA modification GTPase trmE,T02584,
cct:CC1_04950,CDS,528302..529021,16S rRNA m(7)G-527 methyltransferase,T02584,
cct:CC1_04960,CDS,529033..529473,Acetyltransferase (GNAT) family.,T02584,
cct:CC1_04970,CDS,complement(529532..530185),hypothetical protein,T02584,
cct:CC1_04980,CDS,complement(530212..531303),ParB-like partition proteins,T02584,
cct:CC1_04990,CDS,complement(531294..532073),ATPases involved in chromosome partitioning,T02584,
cct:CC1_05000,CDS,532287..532439,hypothetical protein,T02584,
cct:CC1_05010,CDS,complement(532534..534219),arginyl-tRNA synthetase,T02584,
cct:CC1_05030,CDS,535636..537123,Arginine/lysine/ornithine decarboxylases,T02584,
cct:CC1_05040,CDS,537233..537817,Guanylate kinase,T02584,
cct:CC1_05050,CDS,537911..538900,"DNA polymerase III, delta' subunit",T02584,
cct:CC1_05060,CDS,538902..539804,Uncharacterized homolog of PSP1,T02584,
cct:CC1_05070,CDS,539804..540538,Predicted O-methyltransferase,T02584,
cct:CC1_05080,CDS,complement(540960..541733),hypothetical protein,T02584,
cct:CC1_05090,CDS,541977..542831,conserved hypothetical protein TIGR00096,T02584,
cct:CC1_05100,CDS,542981..543433,hypothetical protein,T02584,
cct:CC1_05110,CDS,543436..544212,Domain of unknown function DUF1828./Domain of unknown function DUF1829.,T02584,
cct:CC1_05120,CDS,complement(544291..544560),"transcriptional regulator, AbrB family",T02584,
cct:CC1_05130,CDS,544849..545391,Amidases related to nicotinamidase,T02584,
cct:CC1_05140,CDS,complement(545496..545912),Mn-dependent transcriptional regulator,T02584,
cct:CC1_05160,CDS,546531..546599,hypothetical protein,T02584,
cct:CC1_05170,CDS,complement(546601..548298),Phosphoenolpyruvate carboxykinase (ATP),T02584,
cct:CC1_05180,CDS,complement(548417..550234),Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_05190,CDS,550424..552400,methionyl-tRNA synthetase,T02584,
cct:CC1_05200,CDS,552483..553280,Predicted membrane protein,T02584,
cct:CC1_05210,CDS,553378..554154,"hydrolase, TatD family",T02584,
cct:CC1_05220,CDS,complement(554325..554549),hypothetical protein,T02584,
cct:CC1_05250,CDS,556949..557200,hypothetical protein,T02584,
cct:CC1_05260,CDS,557484..558044,hypothetical protein,T02584,
cct:CC1_05270,CDS,558151..558198,hypothetical protein,T02584,
cct:CC1_05280,CDS,558460..559323,dimethyladenosine transferase,T02584,
cct:CC1_05290,CDS,559562..560845,Aspartate oxidase,T02584,
cct:CC1_05300,CDS,560838..561689,nicotinate-nucleotide pyrophosphorylase,T02584,
cct:CC1_05310,CDS,561704..562240,Predicted small molecule binding protein (contains 3H domain),T02584,
cct:CC1_05320,CDS,562246..563163,quinolinate synthetase A,T02584,
cct:CC1_05330,CDS,complement(563282..564517),Na+/H+-dicarboxylate symporters,T02584,
cct:CC1_05340,CDS,564940..566139,molybdenum cofactor synthesis domain,T02584,
cct:CC1_05350,CDS,complement(566179..567993),ATP-dependent metalloprotease FtsH,T02584,
cct:CC1_05360,CDS,568161..568262,hypothetical protein,T02584,
cct:CC1_05370,CDS,568262..570001,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_05380,CDS,569991..571820,"ABC-type multidrug transport system, ATPase and permease components",T02584,
cct:CC1_05390,CDS,571904..573385,cell envelope-related function transcriptional attenuator common domain,T02584,
cct:CC1_05400,CDS,573405..574367,"Inhibitor of the KinA pathway to sporulation, predicted exonuclease",T02584,
cct:CC1_05410,CDS,complement(574400..575137),Site-specific recombinase XerD,T02584,
cct:CC1_05420,CDS,complement(575272..576588),D-alanyl-D-alanine carboxypeptidase,T02584,
cct:CC1_05430,CDS,576845..577270,uncharacterized domain 1,T02584,
cct:CC1_05440,CDS,577515..579137,"acetolactate synthase, large subunit",T02584,
cct:CC1_05450,CDS,579145..579627,"acetolactate synthase, small subunit",T02584,
cct:CC1_05460,CDS,579639..580301,tRNA (guanine-N(7)-)-methyltransferase,T02584,
cct:CC1_05470,CDS,580670..580819,hypothetical protein,T02584,
cct:CC1_05480,CDS,581230..587955,Rhs family protein,T02584,
cct:CC1_05500,CDS,588661..589194,toxin secretion/phage lysis holin,T02584,
cct:CC1_05510,CDS,589181..590149,N-acetylmuramoyl-L-alanine amidase,T02584,
cct:CC1_05520,CDS,complement(590529..590687),Domain of Unknown Function (DUF1540).,T02584,
cct:CC1_05530,CDS,590913..591947,Protein of unknown function (DUF2804).,T02584,
cct:CC1_05540,CDS,592045..592455,hypothetical protein,T02584,
cct:CC1_05550,CDS,592588..594159,Protein of unknown function (DUF1703)./Predicted AAA-ATPase.,T02584,
cct:CC1_05570,CDS,596086..596313,Phosphopantetheine attachment site.,T02584,
cct:CC1_05580,CDS,596320..597891,Predicted membrane protein involved in D-alanine export,T02584,
cct:CC1_05590,CDS,597994..599004,hypothetical protein,T02584,
cct:CC1_05610,CDS,600321..602555,"ABC-type transport system involved in multi-copper enzyme maturation, permease component",T02584,
cct:CC1_05620,CDS,602559..604031,hypothetical protein,T02584,
cct:CC1_05630,CDS,604219..605229,hypothetical protein,T02584,
cct:CC1_05640,CDS,605229..606125,Beta-propeller domains of methanol dehydrogenase type,T02584,
cct:CC1_05650,CDS,complement(606130..606600),Acetyltransferase (GNAT) family.,T02584,
cct:CC1_05670,CDS,complement(607363..607698),Helix-turn-helix.,T02584,
cct:CC1_05680,CDS,608062..608352,hypothetical protein,T02584,
cct:CC1_05700,CDS,608935..609207,hypothetical protein,T02584,
cct:CC1_05720,CDS,609396..609719,hypothetical protein,T02584,
cct:CC1_05740,CDS,610347..610766,hypothetical protein,T02584,
cct:CC1_05750,CDS,610836..611699,hypothetical protein,T02584,
cct:CC1_05760,CDS,complement(611724..612428),hypothetical protein,T02584,
cct:CC1_05770,CDS,complement(612428..613756),Alcohol acetyltransferase.,T02584,
cct:CC1_05780,CDS,613858..614751,Esterase/lipase,T02584,
cct:CC1_05790,CDS,complement(614827..616287),putative nicotinate phosphoribosyltransferase,T02584,
cct:CC1_05800,CDS,complement(616366..616845),Cytosine/adenosine deaminases,T02584,
cct:CC1_05810,CDS,617029..617154,hypothetical protein,T02584,
cct:CC1_05820,CDS,617216..617917,Uncharacterized membrane protein,T02584,
cct:CC1_05830,CDS,618171..619337,"ABC-type Fe3+ transport system, periplasmic component",T02584,
cct:CC1_05840,CDS,619494..620384,"ABC-type uncharacterized transport system, permease component",T02584,
cct:CC1_05850,CDS,620381..621181,"ABC-type spermidine/putrescine transport system, permease component II",T02584,
cct:CC1_05860,CDS,621196..622203,"ABC-type spermidine/putrescine transport systems, ATPase components",T02584,
cct:CC1_05870,CDS,622511..623233,Glycerophosphoryl diester phosphodiesterase,T02584,
cct:CC1_05880,CDS,623226..624668,"Ethanolamine utilization protein, possible chaperonin protecting lyase from inhibition",T02584,
cct:CC1_05900,CDS,626066..627079,Ethanolamine ammonia-lyase light chain,T02584,
cct:CC1_05910,CDS,627095..627754,Ethanolamine utilization protein,T02584,
cct:CC1_05930,CDS,629576..629872,Carbon dioxide concentrating mechanism/carboxysome shell protein,T02584,
cct:CC1_05940,CDS,629907..631346,Propanediol utilization protein,T02584,
cct:CC1_05950,CDS,631385..632107,hypothetical protein,T02584,
cct:CC1_05960,CDS,632192..632482,Carbon dioxide concentrating mechanism/carboxysome shell protein,T02584,
cct:CC1_05980,CDS,633884..634432,Carbon dioxide concentrating mechanism/carboxysome shell protein,T02584,
cct:CC1_05990,CDS,634764..635111,Ethanolamine utilization protein,T02584,
cct:CC1_06000,CDS,635125..635574,"ethanolamine utilization protein, EutP",T02584,
cct:CC1_06010,CDS,635598..635729,hypothetical protein,T02584,
cct:CC1_06020,CDS,635719..636054,Predicted transcriptional regulators,T02584,
cct:CC1_06040,CDS,637463..637849,Helix-turn-helix.,T02584,
cct:CC1_06060,CDS,complement(639330..639902),Accessory gene regulator B.,T02584,
cct:CC1_06070,CDS,complement(639899..640063),hypothetical protein,T02584,
cct:CC1_06080,CDS,640251..641648,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02584,
cct:CC1_06090,CDS,641666..642370,Response regulator of the LytR/AlgR family,T02584,
cct:CC1_06100,CDS,642545..642688,hypothetical protein,T02584,
cct:CC1_06110,CDS,642773..643777,hypothetical protein,T02584,
cct:CC1_06120,CDS,643796..644224,hypothetical protein,T02584,
cct:CC1_06140,CDS,complement(645344..645580),hypothetical protein,T02584,
cct:CC1_06150,CDS,645638..645907,hypothetical protein,T02584,
cct:CC1_06170,CDS,647849..648409,N-terminal phage replisome organiser (Phage_rep_org_N).,T02584,
cct:CC1_06180,CDS,648406..649263,phage DNA replication protein (predicted replicative helicase loader),T02584,
cct:CC1_06190,CDS,649260..649448,hypothetical protein,T02584,
cct:CC1_06200,CDS,650917..651234,hypothetical protein,T02584,
cct:CC1_06210,CDS,651231..652091,hypothetical protein,T02584,
cct:CC1_06220,CDS,652084..652812,hypothetical protein,T02584,
cct:CC1_06230,CDS,652781..653410,"ABC-type multidrug transport system, ATPase component",T02584,
cct:CC1_06240,CDS,653592..654155,hypothetical protein,T02584,
cct:CC1_06250,CDS,654272..654532,hypothetical protein,T02584,
cct:CC1_06260,CDS,complement(654701..655645),carbamate kinase,T02584,
cct:CC1_06270,CDS,complement(655751..656947),probable carbamoyltransferase YgeW,T02584,
cct:CC1_06280,CDS,complement(657061..658374),M20/DapE family protein YgeY/putative selenium metabolism hydrolase,T02584,
cct:CC1_06290,CDS,complement(658469..659722),diaminopropionate ammonia-lyase,T02584,
cct:CC1_06300,CDS,660126..661511,uracil-xanthine permease,T02584,
cct:CC1_06310,CDS,661722..663053,putative selenium metabolism protein SsnA,T02584,
cct:CC1_06320,CDS,663161..666142,"putative selenate reductase, YgfK subunit",T02584,
cct:CC1_06330,CDS,666524..667096,Carbonic anhydrase,T02584,
cct:CC1_06350,CDS,668815..669201,uncharacterized domain HDIG,T02584,
cct:CC1_06360,CDS,complement(669250..673638),"CoA-substrate-specific enzyme activase, putative",T02584,
cct:CC1_06370,CDS,complement(673658..674122),Transcriptional regulators,T02584,
cct:CC1_06380,CDS,674654..675820,Predicted oxidoreductases of the aldo/keto reductase family,T02584,
cct:CC1_06390,CDS,complement(675823..676956),cysteine desulfurase family protein,T02584,
cct:CC1_06400,CDS,complement(676953..677732),"CoA-substrate-specific enzyme activase, putative",T02584,
cct:CC1_06410,CDS,complement(677740..678888),"Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB",T02584,
cct:CC1_06420,CDS,complement(678947..679846),Transcriptional regulator,T02584,
cct:CC1_06430,CDS,680104..683328,carbamoyl-phosphate synthase large subunit,T02584,
cct:CC1_06440,CDS,complement(683438..683932),hypothetical protein,T02584,
cct:CC1_06450,CDS,684177..684395,Heavy-metal-associated domain.,T02584,
cct:CC1_06480,CDS,complement(686888..689005),"PTS system, glucose subfamily, IIA component",T02584,
cct:CC1_06490,CDS,689274..690254,Lysophospholipase,T02584,
cct:CC1_06500,CDS,690269..690925,Chloramphenicol O-acetyltransferase,T02584,
cct:CC1_06510,CDS,691184..692974,Na/Pi-cotransporter,T02584,
cct:CC1_06520,CDS,692986..693669,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02584,
cct:CC1_06530,CDS,693676..695016,Signal transduction histidine kinase,T02584,
cct:CC1_06540,CDS,695164..696612,Uncharacterized protein conserved in bacteria,T02584,
cct:CC1_06550,CDS,696628..697224,hypothetical protein,T02584,
cct:CC1_06560,CDS,697384..698088,hypothetical protein,T02584,
cct:CC1_06570,CDS,698089..698682,hypothetical protein,T02584,
cct:CC1_06580,CDS,complement(698736..698996),hypothetical protein,T02584,
cct:CC1_06590,CDS,699223..700005,Predicted hydrolase of the alpha/beta superfamily,T02584,
cct:CC1_06600,CDS,700009..700938,Predicted permeases,T02584,
cct:CC1_06610,CDS,complement(701096..701680),"intracellular protease, PfpI family",T02584,
cct:CC1_06620,CDS,complement(701893..702924),hypothetical protein,T02584,
cct:CC1_06630,CDS,complement(703429..704658),Major Facilitator Superfamily.,T02584,
cct:CC1_06640,CDS,complement(704743..705393),Transcriptional regulator,T02584,
cct:CC1_06650,CDS,705392..705514,hypothetical protein,T02584,
cct:CC1_06660,CDS,705742..706224,Cytosine/adenosine deaminases,T02584,
cct:CC1_06670,CDS,706215..707057,histidinol phosphate phosphatase HisJ family,T02584,
cct:CC1_06680,CDS,707278..708501,LL-diaminopimelate aminotransferase apoenzyme,T02584,
cct:CC1_06690,CDS,708604..708696,hypothetical protein,T02584,
cct:CC1_06700,CDS,708700..709479,"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family",T02584,
cct:CC1_06710,CDS,709581..710429,"EDD domain protein, DegV family",T02584,
cct:CC1_06720,CDS,710422..710490,hypothetical protein,T02584,
cct:CC1_06730,CDS,712372..712506,hypothetical protein,T02584,
cct:CC1_06750,CDS,713435..713602,hypothetical protein,T02584,
cct:CC1_06780,CDS,715483..715566,hypothetical protein,T02584,
cct:CC1_06790,CDS,715556..716119,hypothetical protein,T02584,
cct:CC1_06800,CDS,716311..717555,hypothetical protein,T02584,
cct:CC1_06810,CDS,717612..717809,hypothetical protein,T02584,
cct:CC1_06820,CDS,718017..718460,hypothetical protein,T02584,
cct:CC1_06830,CDS,718472..718726,hypothetical protein,T02584,
cct:CC1_35090,misc_RNA,719378..719480,Bacterial signal recognition particle RNA,T02584,
cct:CC1_06840,CDS,719756..719839,hypothetical protein,T02584,
cct:CC1_06860,CDS,720368..721624,hypothetical protein,T02584,
cct:CC1_06880,CDS,722817..724073,Bacterial capsule synthesis protein PGA_cap.,T02584,
cct:CC1_T_34530,tRNA,724172..724247,CC1_T_34530,T02584,
cct:CC1_06890,CDS,724636..725979,Predicted ATPase (AAA+ superfamily),T02584,
cct:CC1_06900,CDS,726027..726515,hypothetical protein,T02584,
cct:CC1_06910,CDS,726546..726758,hypothetical protein,T02584,
cct:CC1_06920,CDS,726912..727442,thiW protein,T02584,
cct:CC1_06930,CDS,complement(727439..728311),conserved repeat domain,T02584,
cct:CC1_06940,CDS,complement(728437..729795),C_GCAxxG_C_C family probable redox protein,T02584,
cct:CC1_06950,CDS,729968..730441,Predicted flavin-nucleotide-binding protein,T02584,
cct:CC1_06960,CDS,730448..732496,"Anaerobic dehydrogenases, typically selenocysteine-containing",T02584,
cct:CC1_06970,CDS,complement(732645..732896),Coat F domain.,T02584,
cct:CC1_06980,CDS,complement(732912..733097),hypothetical protein,T02584,
cct:CC1_06990,CDS,complement(733265..734215),Predicted permeases,T02584,
cct:CC1_07000,CDS,734350..734919,N-acetylmuramoyl-L-alanine amidase,T02584,
cct:CC1_07010,CDS,735097..736074,Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),T02584,
cct:CC1_07030,CDS,complement(736489..737838),Predicted permease,T02584,
cct:CC1_T_34540,tRNA,738184..738256,CC1_T_34540,T02584,
cct:CC1_07040,CDS,738689..739303,hypothetical protein,T02584,
cct:CC1_07050,CDS,739558..740835,"Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB",T02584,
cct:CC1_07060,CDS,740835..742514,"CoA-substrate-specific enzyme activase, putative",T02584,
cct:CC1_07070,CDS,742683..743606,hypothetical protein,T02584,
cct:CC1_07080,CDS,744145..744249,hypothetical protein,T02584,
cct:CC1_07090,CDS,744234..744920,hypothetical protein,T02584,
cct:CC1_07100,CDS,744962..745105,hypothetical protein,T02584,
cct:CC1_07110,CDS,745141..746064,diaminopimelate epimerase,T02584,
cct:CC1_07120,CDS,complement(746284..746589),Protein of unknown function (DUF1292).,T02584,
cct:CC1_07140,CDS,747733..748803,spermidine/putrescine ABC transporter ATP-binding subunit,T02584,
cct:CC1_07150,CDS,748815..749678,"ABC-type spermidine/putrescine transport system, permease component I",T02584,
cct:CC1_07160,CDS,749678..750484,"ABC-type spermidine/putrescine transport system, permease component II",T02584,
cct:CC1_07170,CDS,750498..751616,Spermidine/putrescine-binding periplasmic protein,T02584,
cct:CC1_07180,CDS,752001..752996,Predicted phosphosugar isomerases,T02584,
cct:CC1_07190,CDS,complement(753184..753597),"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",T02584,
cct:CC1_07200,CDS,753628..754275,FAD/FMN-containing dehydrogenases,T02584,
cct:CC1_07220,CDS,755308..756117,"Sugar kinases, ribokinase family",T02584,
cct:CC1_07230,CDS,756199..756822,Predicted metal-dependent hydrolase,T02584,
cct:CC1_07240,CDS,complement(756870..757826),"Predicted permease, DMT superfamily",T02584,
cct:CC1_07250,CDS,758094..759422,aspartate kinase,T02584,
cct:CC1_07260,CDS,759697..760455,NCAIR mutase (PurE)-related proteins,T02584,
cct:CC1_07270,CDS,760567..762003,conserved hypothetical protein TIGR00299,T02584,
cct:CC1_07280,CDS,762085..762894,conserved hypothetical protein TIGR00268,T02584,
cct:CC1_07290,CDS,complement(763006..763380),ParB-like nuclease domain.,T02584,
cct:CC1_07310,CDS,764362..765090,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component",T02584,
cct:CC1_07320,CDS,765112..766071,Glycosyltransferases involved in cell wall biogenesis,T02584,
cct:CC1_07340,CDS,767243..767671,ribose-5-phosphate isomerase,T02584,
cct:CC1_07350,CDS,767765..768250,Deoxycytidylate deaminase,T02584,
cct:CC1_07360,CDS,768468..768743,Putative F0F1-ATPase subunit (ATPase_gene1).,T02584,
cct:CC1_07370,CDS,768718..769125,ATP synthase I chain.,T02584,
cct:CC1_07380,CDS,769130..769825,ATP synthase F0 subcomplex A subunit,T02584,
cct:CC1_07390,CDS,769872..770138,ATP synthase F0 subcomplex C subunit,T02584,
cct:CC1_07410,CDS,770704..771186,"F0F1-type ATP synthase, subunit b",T02584,
cct:CC1_07420,CDS,771174..771713,"ATP synthase, F1 delta subunit",T02584,
cct:CC1_07430,CDS,771735..773255,ATP synthase F1 subcomplex alpha subunit,T02584,
cct:CC1_07440,CDS,773262..774128,ATP synthase F1 subcomplex gamma subunit,T02584,
cct:CC1_07450,CDS,774152..775540,ATP synthase F1 subcomplex beta subunit,T02584,
cct:CC1_07460,CDS,775557..775967,"ATP synthase, F1 epsilon subunit (delta in mitochondria)",T02584,
cct:CC1_07470,CDS,complement(776030..778846),hypothetical protein,T02584,
cct:CC1_07480,CDS,779021..781198,hypothetical protein,T02584,
cct:CC1_07490,CDS,781195..782454,Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC,T02584,
cct:CC1_07510,CDS,783204..784262,Nucleoside-diphosphate-sugar epimerases,T02584,
